Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Bill Powell,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/bob-powell-1.html
Bob McKelvey,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/bob-mckelvey-1.html
Sam Harris,,http://www.pro-football-reference.com,
Scott Eaton,EatoSc20,http://www.pro-football-reference.com/players/E/EatoSc20.htm,
Estes Banks,BankEs00,http://www.pro-football-reference.com/players/B/BankEs00.htm,http://www.sports-reference.com/cfb/players/estes-banks-1.html
John Brunson,,http://www.pro-football-reference.com,
Larry Hendershot,HendLa20,http://www.pro-football-reference.com/players/H/HendLa20.htm,
Tom Cassese,CassTo20,http://www.pro-football-reference.com/players/C/CassTo20.htm,
John Foruria,ForuJo20,http://www.pro-football-reference.com/players/F/ForuJo20.htm,
Mike Gold,,http://www.pro-football-reference.com,
Mike Barnes,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/mike-barnes-3.html
Roger Murphy,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/roger-murphy-1.html
Gene Bledsoe,,http://www.pro-football-reference.com,
John Beasley,BeasJo00,http://www.pro-football-reference.com/players/B/BeasJo00.htm,http://www.sports-reference.com/cfb/players/john-beasley-1.html
Walter Johnson,JohnWa22,http://www.pro-football-reference.com/players/J/JohnWa22.htm,
John Mills,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/johnny-mills-1.html
Jerry Griffin,,http://www.pro-football-reference.com,
Sharon Washington,,http://www.pro-football-reference.com,
Lee Anderson,,http://www.pro-football-reference.com,
Don Klacking,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/don-klacking-1.html
Cornelius Johnson,JohnCo20,http://www.pro-football-reference.com/players/J/JohnCo20.htm,
Bill Devrow,,http://www.pro-football-reference.com,
Thomas Fussell,FussTh20,http://www.pro-football-reference.com/players/F/FussTh20.htm,
Tommy Luke,LukeTo20,http://www.pro-football-reference.com/players/L/LukeTo20.htm,
Steve Laub,,http://www.pro-football-reference.com,
Tom Altemeier,,http://www.pro-football-reference.com,
Clarence Miles,,http://www.pro-football-reference.com,
Barry Siler,,http://www.pro-football-reference.com,
Tim Lavens,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/tim-lavens-1.html
Fred Freeman,,http://www.pro-football-reference.com,
Ken Houston,HousKe02,http://www.pro-football-reference.com/players/H/HousKe02.htm,
Bobby Moten,MoteBo20,http://www.pro-football-reference.com/players/M/MoteBo20.htm,
John Richardson,RichJo20,http://www.pro-football-reference.com/players/R/RichJo20.htm,
Jim Summers,SummJi20,http://www.pro-football-reference.com/players/S/SummJi20.htm,
Mike Weger,WegeMi20,http://www.pro-football-reference.com/players/W/WegeMi20.htm,
Bill Morris,,http://www.pro-football-reference.com,
Paul Otis,,http://www.pro-football-reference.com,
Greg Cass,,http://www.pro-football-reference.com,
Pete Larson,LarsPe00,http://www.pro-football-reference.com/players/L/LarsPe00.htm,
Bob Briggs,BrigBo20,http://www.pro-football-reference.com/players/B/BrigBo20.htm,
Ray Scott,,http://www.pro-football-reference.com,
Steve Newell,NeweSt00,http://www.pro-football-reference.com/players/N/NeweSt00.htm,
Tommie Smith,SmitTo01,http://www.pro-football-reference.com/players/S/SmitTo01.htm,
Ted Wheeler,WheeTe20,http://www.pro-football-reference.com/players/W/WheeTe20.htm,
Mark De Villing,,http://www.pro-football-reference.com,
Ron Kirkland,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/ron-kirkland-1.html
